rc1,rc2,rc3,zs1,zs2,zs3,nfp,etabar,B2c,p2,axis_length,iota,max_elongation,min_L_grad_B,min_R0,r_singularity,L_grad_grad_B,B20_variation,beta,DMerc_times_r2
-0.60039496,0.07250847,-0.016139556,0.521686,-0.04119216,0.0041330787,3.0,-1.1623294,-1.5393999,-145709.75,12.518610077715897,1.908691689663598,3.1779650968323296,0.3193717670135889,0.4559739492833611,0.0606440196406174,0.1469141275016152,3.790145512569999,0.0006734020536893,0.1814703398837142
0.41780135,-0.018584196,-0.00557561,-0.40778533,0.016658507,0.0031167166,3.0,-0.9216848,-2.608432,-983257.2,10.165454326470728,2.2254099018723297,4.889977313613998,0.2865396041430287,0.5691900639794766,0.1732955895950479,0.2034719127566496,2.579507638756935,0.0371066727138423,1.1674568366372315
0.20504193,-0.035949092,-0.033908065,0.01455543,0.17824866,0.043434687,1.0,-0.6318714,-3.1307602,-334678.0,6.579531810243923,0.2018483550507683,6.30161223195889,0.5312694775427342,0.7929170429706573,0.0866018838358921,0.2113178623909637,2.073139221050851,0.0031542180129237,0.0499204577567594
-0.5969914,0.012649974,-0.020252703,-0.615134,-0.05524185,-0.010353972,3.0,-0.8005049,-2.0217435,-421408.25,13.35222265419156,-2.260284421653852,9.32040409082272,0.3313673029636444,0.3954058513045312,0.0920378127422252,0.1706909936585595,4.901247710478547,0.0044858575270906,0.2836766150401167
-0.5643117,0.019216068,0.00784121,0.42018354,0.01106645,-0.009111493,3.0,-1.7369614,-0.25902677,-175298.75,11.442479271529008,2.027392229215714,3.326924582789611,0.3274989924874426,0.4627455947920678,0.0669173700926239,0.1949998424068067,4.985118659001286,0.0009864303190062,0.5519802112199633
0.43211555,-0.0037054,-0.0041655083,0.5856903,-0.0045265406,-0.00026182787,5.0,1.3029928,-0.6319199,-642853.75,17.38360761904601,-3.6636566345259776,6.021067581640774,0.3660122268745448,0.5683445534668864,0.0593188262652555,0.2390399708430484,4.236661778048177,0.0028425436595504,0.9336869720309816
-0.6368214,0.026205566,0.016307078,-0.6173615,-0.027411759,0.019672332,4.0,0.72615594,-2.5515738,-635667.0,17.23736871190124,-3.1780916339815635,8.651963815720935,0.4066793535095824,0.4056912548840043,0.1327390885406145,0.2217001839394552,2.213446590515664,0.0140746366682341,1.892535986037564
-0.6530845,0.041796613,-0.008748869,-0.6895873,0.05620576,-0.022247907,2.0,0.81349766,-2.1279266,-28264.625,10.726105044993018,-1.361556795705196,5.941560976011113,0.318822836719538,0.3799632275477049,0.0611608026711792,0.1867374696279278,1.81846821301359,0.0001328615897714,0.0643282691409408
-0.5420755,0.044533476,-0.016997015,-0.7909985,0.084837,-0.03097919,4.0,0.8084096,-2.7043865,-1039145.6,18.21667120249455,-2.842908223744285,9.10083353395536,0.3962936655345659,0.4854609463363883,0.0691240273544104,0.201451669286147,2.961541392119707,0.0062394217757048,2.4395592120686818
0.4196506,0.023099925,-0.0039660474,0.40665448,0.025584072,8.736986e-05,3.0,1.4339867,-3.0762565,-1300188.2,10.084127709575847,-1.6563165549568006,3.846926724049666,0.3329866068611505,0.6074153585359452,0.0677962805329873,0.1481145540474173,4.358906811825449,0.0075097907666946,0.9296862652783328
